,age_upon_outcome,animal_id,animal_type,breed,color,date_of_birth,datetime,monthyear,outcome_subtype,outcome_type,sex_upon_outcome,location_lat,location_long,age_upon_outcome_in_weeks,name,breed_id,Chip_ID
256.0,3 years,A717863,Dog,German Shepherd Mix,Brown,2012-12-16,12/20/2015 0:00,2015-12-20T00:00:00,Partner,Transfer,Intact Male,30.59827441,-97.70125789,157,*Lucky,,
257.0,2 years,A699381,Other,Bat Mix,Brown,2013-03-26,3/27/2015 8:07,2015-03-27T08:07:00,Rabies Risk,Euthanasia,Unknown,30.34354659,-97.43922233,104.4768849,,,
258.0,1 month,A676320,Dog,Australian Cattle Dog Mix,Tricolor,2014-03-21,5/21/2014 17:10,2014-05-21T17:10:00,Foster,Adoption,Neutered Male,30.75601877,-97.28668171,8.816468254,Tucker,,
259.0,7 years,A750405,Dog,Labrador Retriever Mix,Chocolate,2010-05-31,6/24/2017 13:29,2017-06-24T13:29:00,Offsite,Adoption,Neutered Male,30.34244812,-97.45019709,368.7945437,*Lincoln,,
260.0,1 year,A738800,Dog,Scottish Terrier,Black/Black,2015-11-21,11/22/2016 16:19,2016-11-22T16:19:00,,Return to Owner,Neutered Male,30.70485705,-97.36059859,52.52569444,Walter,,
261.0,3 weeks,A711058,Cat,Domestic Shorthair Mix,Brown Tabby/White,2015-08-10,9/1/2015 14:05,2015-09-01T14:05:00,Partner,Transfer,Unknown,30.39802759,-97.57146108,3.226686508,,,
262.0,1 year,A673269,Cat,Domestic Shorthair Mix,Black,2013-02-21,3/15/2014 18:24,2014-03-15T18:24:00,,Adoption,Neutered Male,30.57894099,-97.7159025,55.3952381,*Curtis,,
263.0,6 years,A727193,Dog,Rhod Ridgeback Mix,Brown/Black,2010-05-19,5/19/2016 17:16,2016-05-19T17:16:00,,Return to Owner,Spayed Female,30.3272849,-97.40393646,313.2456349,Gigi,,
264.0,14 years,A381173,Dog,Labrador Retriever Mix,Brown/White,2000-08-06,8/6/2014 17:12,2014-08-06T17:12:00,,Return to Owner,Spayed Female,30.73002362,-97.41468912,730.5309524,Pepper,,
265.0,1 year,A669794,Dog,Rottweiler Mix,Black/Tan,2012-12-27,12/27/2013 15:46,2013-12-27T15:46:00,,Return to Owner,Spayed Female,30.39880741,-97.68168599,52.23670635,Nikita,,
266.0,9 years,A433746,Dog,Australian Shepherd Mix,White/Brown,2006-04-09,11/4/2015 0:00,2015-11-04T00:00:00,Partner,Transfer,Spayed Female,30.70514106,-97.68831966,499.4285714,Evette,,
267.0,3 years,A734651,Dog,Catahoula Mix,White/Black,2013-09-10,9/17/2016 15:25,2016-09-17T15:25:00,,Adoption,Spayed Female,30.74464231,-97.2666277,157.6631944,*Sheba,,
268.0,2 years,A719006,Dog,Dachshund/Chihuahua Shorthair,Chocolate,2014-01-11,1/25/2016 17:44,2016-01-25T17:44:00,,Adoption,Neutered Male,30.73520206,-97.68745988,106.3912698,Pablo,,
269.0,5 years,A665629,Dog,Australian Cattle Dog/Chow Chow,Red Merle/White,2009-10-20,7/31/2015 14:29,2015-07-31T14:29:00,Partner,Transfer,Neutered Male,30.28781222,-97.62995379,301.5147817,Baby Boy,,
270.0,3 years,A688427,Dog,American Bulldog Mix,White,2011-09-19,10/4/2014 18:46,2014-10-04T18:46:00,Partner,Transfer,Neutered Male,30.35889068,-97.52291095,158.8259921,,,
271.0,2 years,A716150,Dog,Miniature Schnauzer Mix,Silver/Black,2013-11-15,11/20/2015 17:53,2015-11-20T17:53:00,,Adoption,Neutered Male,30.64319715,-97.28766459,105.1064484,*Pancho,,
272.0,3 years,A734180,Dog,Labrador Retriever Mix,Black/White,2013-09-02,10/15/2016 17:08,2016-10-15T17:08:00,,Adoption,Neutered Male,30.59284969,-97.34071516,162.8162698,Jax,,
273.0,1 year,A760464,Dog,French Bulldog,Fawn,2016-10-20,10/20/2017 12:14,2017-10-20T12:14:00,,Return to Owner,Neutered Male,30.5219079,-97.53911633,52.2156746,Klaus,,
274.0,2 months,A712421,Cat,Domestic Shorthair Mix,White/Blue Tabby,2015-08-15,11/11/2015 13:53,2015-11-11T13:53:00,Foster,Adoption,Neutered Male,30.43864718,-97.58484507,12.65406746,*Cameron,,
275.0,2 years,A676777,Dog,Dutch Shepherd Mix,Brown Brindle,2012-04-16,4/25/2014 11:14,2014-04-25T11:14:00,,Return to Owner,Spayed Female,30.40959309,-97.54957682,105.6382937,Remy,,
276.0,3 months,A732255,Dog,Great Pyrenees/Pointer,White/Black,2016-05-04,8/10/2016 18:02,2016-08-10T18:02:00,,Adoption,Neutered Male,30.57505268,-97.49627667,14.10734127,*Benjamin,,
277.0,4 years,A693283,Dog,Pit Bull Mix,Tan/White,2012-12-05,11/23/2017 16:07,2017-11-23T16:07:00,,Return to Owner,Neutered Male,30.28147008,-97.38396593,259.2387897,Maximus,,
278.0,4 weeks,A709285,Other,Bat,Red,2015-07-07,8/7/2015 8:38,2015-08-07T08:38:00,Rabies Risk,Euthanasia,Unknown,30.66551278,-97.41447724,4.479960317,,,
279.0,11 months,A724073,Cat,Domestic Shorthair Mix,Calico,2015-05-11,4/16/2016 12:59,2016-04-16T12:59:00,,Adoption,Spayed Female,30.36530247,-97.55233245,48.79156746,Lily,,
280.0,6 years,A674453,Dog,Wire Hair Fox Terrier Mix,White/Tan,2008-03-13,3/14/2014 11:00,2014-03-14T11:00:00,Partner,Transfer,Spayed Female,30.65716771,-97.34722536,313.2083333,Lana,,
281.0,2 months,A738016,Cat,Domestic Shorthair Mix,Brown Tabby/White,2016-08-24,11/20/2016 15:54,2016-11-20T15:54:00,,Adoption,Spayed Female,30.32701414,-97.61092494,12.66607143,*Friday,,
282.0,12 years,A686683,Dog,German Shepherd Mix,White,2002-08-25,8/25/2014 15:09,2014-08-25T15:09:00,Suffering,Euthanasia,Intact Male,30.46368417,-97.4177712,626.2330357,Ira,,
283.0,2 months,A760662,Cat,Domestic Shorthair Mix,Black,2017-10-08,12/12/2017 9:40,2017-12-12T09:40:00,Foster,Adoption,Neutered Male,30.45037121,-97.51546113,9.343253968,,,
284.0,4 years,A687604,Cat,Domestic Shorthair Mix,Black,2010-09-07,9/7/2014 14:45,2014-09-07T14:45:00,Suffering,Euthanasia,Intact Male,30.67378853,-97.31582528,208.8020833,,,
285.0,8 years,A739719,Dog,Labrador Retriever Mix,Chocolate,2008-12-06,1/2/2017 17:39,2017-01-02T17:39:00,Foster,Adoption,Neutered Male,30.32364885,-97.48768809,421.3907738,Chubs,,
286.0,1 year,A735601,Dog,Labrador Retriever Mix,Black,2015-09-26,2/16/2017 13:23,2017-02-16T13:23:00,,Return to Owner,Spayed Female,30.53097641,-97.4744857,72.79394841,Olivia,,
287.0,1 year,A712665,Dog,Pit Bull Mix,Fawn/White,2014-09-26,11/17/2015 18:26,2015-11-17T18:26:00,,Return to Owner,Neutered Male,30.46471898,-97.69015351,59.68115079,*Jack Nick,,
288.0,3 years,A705339,Dog,Pit Bull Mix,Brown Brindle,2012-06-16,6/17/2015 11:06,2015-06-17T11:06:00,,Return to Owner,Spayed Female,30.38388215,-97.68677216,156.6375,Queenie,,
289.0,9 months,A669177,Dog,Labrador Retriever/Staffordshire,Black/White,2013-03-16,12/24/2013 14:43,2013-12-24T14:43:00,,Adoption,Intact Female,30.33450302,-97.64054046,40.51617063,Ally,,
290.0,1 year,A675047,Dog,Labrador Retriever Mix,Black/White,2013-03-22,3/30/2014 18:37,2014-03-30T18:37:00,,Adoption,Neutered Male,30.38175792,-97.45185427,53.39652778,Reggie,,
291.0,2 months,A681978,Cat,Domestic Shorthair Mix,Blue Tabby/White,2014-04-07,6/26/2014 17:15,2014-06-26T17:15:00,Partner,Transfer,Intact Female,30.54756296,-97.3398629,11.53125,,,
292.0,2 years,A642946,Cat,Domestic Shorthair Mix,Brown Tabby/White,2012-07-17,12/7/2014 13:31,2014-12-07T13:31:00,,Adoption,Spayed Female,30.56926315,-97.39612953,124.7947421,Zooey,,
293.0,3 years,A743073,Dog,Labrador Retriever/Australian Cattle Dog,White/Brown,2014-02-03,2/10/2017 13:32,2017-02-10T13:32:00,,Adoption,Spayed Female,30.69190354,-97.56635977,157.6519841,*Mika,,
294.0,5 years,A720472,Dog,Redbone Hound Mix,Red/Black,2011-02-10,2/10/2016 11:46,2016-02-10T11:46:00,,Return to Owner,Spayed Female,30.42922054,-97.56709988,260.9271825,Ladybird,,
295.0,2 years,A680319,Cat,Domestic Shorthair Mix,Brown Tabby/White,2012-06-01,6/1/2014 8:00,2014-06-01T08:00:00,SCRP,Transfer,Intact Male,30.57644842,-97.68256957,104.3333333,,,
296.0,4 years,A641779,Dog,Pit Bull Mix,White/Black,2011-11-13,7/26/2016 12:58,2016-07-26T12:58:00,,Return to Owner,Spayed Female,30.68513776,-97.41724023,245.3628968,Tonii Yayo,,
297.0,2 months,A710129,Cat,Domestic Shorthair Mix,Orange Tabby,2015-06-18,9/6/2015 12:31,2015-09-06T12:31:00,Partner,Transfer,Intact Female,30.57279027,-97.62591273,11.5030754,*Safiya,,
298.0,2 years,A700218,Cat,Domestic Shorthair Mix,Brown Tabby/Black,2013-04-10,4/10/2015 15:13,2015-04-10T15:13:00,Suffering,Euthanasia,Neutered Male,30.38693675,-97.58771082,104.3762897,,,
299.0,1 year,A668106,Bird,Rhode Island Mix,Yellow/Black,2012-11-27,12/1/2013 3:15,2013-12-01T03:15:00,Suffering,Euthanasia,Intact Male,30.53004273,-97.54861452,52.73363095,,,
300.0,2 months,A731911,Dog,Australian Cattle Dog/German Shepherd,Black/Tan,2016-05-14,8/10/2016 13:04,2016-08-10T13:04:00,,Return to Owner,Intact Male,30.67518205,-97.32797727,12.64920635,Cory,,
301.0,3 years,A686606,Dog,Australian Shepherd Mix,Brown Merle/Tan,2011-08-24,8/31/2014 13:14,2014-08-31T13:14:00,Partner,Transfer,Neutered Male,30.62892779,-97.59013451,157.6501984,Junior,,
302.0,1 year,A714666,Dog,Chihuahua Longhair Mix,Tan/White,2014-10-26,10/29/2015 18:38,2015-10-29T18:38:00,,Return to Owner,Intact Female,30.47054303,-97.62337269,52.68234127,Sandy,,
303.0,5 years,A698959,Dog,Labrador Retriever Mix,Black,2010-03-20,3/20/2015 17:25,2015-03-20T17:25:00,,Return to Owner,Intact Female,30.70523917,-97.60692464,260.9608135,Addy,,
304.0,13 years,A358879,Dog,German Shepherd,Brown/Black,2002-08-13,9/15/2015 16:22,2015-09-15T16:22:00,Suffering,Euthanasia,Neutered Male,30.44999948,-97.61854919,683.0974206,Simba,656174071f442de352558622,
305.0,2 years,A711357,Cat,Domestic Shorthair Mix,Torbie,2013-09-05,9/6/2015 9:00,2015-09-06T09:00:00,SCRP,Transfer,Unknown,30.74147147,-97.34098349,104.4821429,,,
306.0,1 year,A708460,Cat,Domestic Shorthair,Cream Tabby,2014-07-28,7/29/2015 9:00,2015-07-29T09:00:00,SCRP,Transfer,Unknown,30.33059504,-97.39188138,52.33928571,,,
307.0,1 year,A742169,Dog,Pit Bull,Blue/White,2016-01-16,12/15/2017 18:26,2017-12-15T18:26:00,,Adoption,Spayed Female,30.74080553,-97.35470709,99.96686508,*Pearl,,
308.0,3 months,A692031,Cat,Domestic Shorthair Mix,Black/White,2014-10-13,2/1/2015 17:55,2015-02-01T17:55:00,,Adoption,Neutered Male,30.52380179,-97.49676402,15.96378968,T-Rex,,
309.0,8 months,A719793,Dog,Pit Bull Mix,White/Tan,2015-06-01,2/1/2016 14:32,2016-02-01T14:32:00,,Return to Owner,Spayed Female,30.49900688,-97.46171286,35.08650794,Cece,,
310.0,6 months,A734240,Other,Rabbit Sh Mix,White/Black,2016-03-03,9/18/2016 10:41,2016-09-18T10:41:00,,Adoption,Intact Female,30.63861327,-97.25858005,28.4921627,,,
311.0,9 months,A708456,Other,Opossum,Gray,2014-09-28,7/29/2015 12:11,2015-07-29T12:11:00,Suffering,Euthanasia,Unknown,30.54076691,-97.3546943,43.50109127,,,
312.0,2 years,A698767,Dog,Bull Terrier Mix,White,2014-03-17,2/6/2017 17:46,2017-02-06T17:46:00,,Adoption,Neutered Male,30.58248764,-97.50169355,151.105754,Polo,,
313.0,3 months,A758948,Other,Squirrel Mix,Brown,2017-06-24,9/27/2017 19:18,2017-09-27T19:18:00,Rabies Risk,Euthanasia,Unknown,30.53960733,-97.30992939,13.68630952,,,
314.0,2 years,A671428,Dog,Swiss Hound/Pit Bull,Tan/White,2012-10-24,11/12/2014 19:32,2014-11-12T19:32:00,,Return to Owner,Neutered Male,30.69918144,-97.39776325,107.1162698,Little Foot,,
315.0,3 years,A678393,Dog,Miniature Poodle Mix,White/Apricot,2011-05-08,5/9/2014 17:54,2014-05-09T17:54:00,,Return to Owner,Spayed Female,30.42929933,-97.61617323,156.8208333,Bebe,,
316.0,8 months,A749157,Bird,Duck,Yellow,2016-09-11,5/15/2017 9:32,2017-05-15T09:32:00,Foster,Adoption,Unknown,30.44222708,-97.56628656,35.19960317,,,
317.0,2 months,A691775,Cat,Domestic Shorthair Mix,Orange Tabby,2014-09-09,11/14/2014 13:43,2014-11-14T13:43:00,Partner,Transfer,Neutered Male,30.50911472,-97.4528579,9.510218254,Nugget,,
318.0,1 month,A729618,Cat,Domestic Shorthair Mix,Calico,2016-05-14,6/24/2016 7:33,2016-06-24T07:33:00,Partner,Transfer,Intact Female,30.52220932,-97.43950969,5.902083333,*Apple,,
319.0,2 years,A755247,Dog,Pit Bull Mix,Black/White,2015-07-31,1/9/2018 17:52,2018-01-09T17:52:00,,Adoption,Neutered Male,30.57952553,-97.59938229,127.6777778,Dobie,,
320.0,3 years,A720636,Cat,Domestic Shorthair Mix,Black,2013-02-13,2/22/2016 16:00,2016-02-22T16:00:00,SCRP,Transfer,Unknown,30.6319987,-97.64395162,157.8095238,,,
321.0,4 years,A609335,Dog,Pit Bull Mix,White/Tan,2009-09-07,12/16/2013 15:31,2013-12-16T15:31:00,,Adoption,Neutered Male,30.66957023,-97.64158647,223.0923611,*Churley,,
322.0,2 years,A756323,Dog,Pit Bull Mix,White/Black,2015-08-17,8/19/2017 16:44,2017-08-19T16:44:00,,Adoption,Neutered Male,30.35743329,-97.39929939,104.8138889,Bongo,,
323.0,8 years,A688353,Dog,Boston Terrier,Black/White,2006-09-18,9/19/2014 16:42,2014-09-19T16:42:00,,Return to Owner,Neutered Male,30.42762622,-97.33888805,417.6708333,Rupert,,
324.0,2 months,A702633,Dog,Labrador Retriever Mix,Black/White,2015-03-16,5/20/2015 17:04,2015-05-20T17:04:00,,Adoption,Neutered Male,30.51866115,-97.35703441,9.387301587,,,
325.0,2 years,A711168,Dog,American Pit Bull Terrier Mix,Sable/White,2013-09-03,9/3/2015 11:41,2015-09-03T11:41:00,,Return to Owner,Intact Male,30.66965664,-97.62683029,104.3552579,Chucho,,
326.0,2 weeks,A735260,Cat,Domestic Shorthair Mix,Brown Tabby,2016-09-06,9/21/2016 14:16,2016-09-21T14:16:00,Partner,Transfer,Unknown,30.43234531,-97.64653482,2.227777778,,,
327.0,2 months,A759505,Dog,Labrador Retriever Mix,White,2017-08-02,10/4/2017 15:42,2017-10-04T15:42:00,,Return to Owner,Intact Female,30.36362807,-97.33347233,9.093452381,,,
328.0,1 year,A734612,Dog,Pit Bull Mix,Black/White,2015-09-19,9/20/2016 19:12,2016-09-20T19:12:00,,Return to Owner,Neutered Male,30.62793864,-97.48936581,52.54285714,Beans,,
329.0,7 years,A534502,Dog,Boxer Mix,Black Brindle/Brown,2008-11-17,9/23/2016 17:10,2016-09-23T17:10:00,,Return to Owner,Neutered Male,30.44412798,-97.47657935,409.6736111,Will,,
330.0,2 months,A692955,Cat,Domestic Shorthair Mix,Black/White,2014-10-29,1/24/2015 11:27,2015-01-24T11:27:00,Foster,Adoption,Spayed Female,30.42562437,-97.29896471,12.49672619,*Maria,,
331.0,2 months,A726249,Cat,Domestic Shorthair Mix,Torbie/White,2016-04-05,6/11/2016 13:41,2016-06-11T13:41:00,Foster,Adoption,Spayed Female,30.7413759,-97.62676239,9.652876984,*Myrtle,,
332.0,1 month,A751736,Cat,Domestic Shorthair Mix,Tortie,2017-04-27,6/18/2017 17:25,2017-06-18T17:25:00,Partner,Transfer,Intact Female,30.40702473,-97.35570444,7.532242063,*Jessa,,
333.0,5 years,A739113,Dog,Anatol Shepherd Mix,White/Tan,2011-11-28,11/28/2016 14:37,2016-11-28T14:37:00,,Return to Owner,Neutered Male,30.44630847,-97.57645876,261.087004,Gus,,
334.0,1 year,A675124,Other,Raccoon Mix,Black/Gray,2013-03-23,3/23/2014 17:30,2014-03-23T17:30:00,Suffering,Euthanasia,Unknown,30.39729229,-97.30530039,52.24702381,,,
335.0,2 months,A746862,Dog,Great Dane Mix,Black/White,2017-01-14,4/14/2017 17:13,2017-04-14T17:13:00,,Adoption,Spayed Female,30.41050771,-97.65025213,12.95962302,Harley,,
336.0,2 months,A758584,Cat,American Shorthair Mix,Orange Tabby/White,2017-09-09,11/26/2017 11:37,2017-11-26T11:37:00,,Adoption,Neutered Male,30.34914086,-97.47932913,11.21200397,,,
337.0,2 years,A693651,Other,Bat Mix,Brown,2012-12-12,12/13/2014 8:19,2014-12-13T08:19:00,Rabies Risk,Euthanasia,Unknown,30.28919326,-97.54597155,104.4780754,,,
338.0,1 year,A700824,Dog,Chihuahua Shorthair Mix,Brown/White,2013-10-20,4/24/2015 11:40,2015-04-24T11:40:00,,Adoption,Spayed Female,30.76500329,-97.62097274,78.78373016,Greta,,
339.0,3 months,A728158,Cat,Domestic Shorthair Mix,Orange Tabby/White,2016-05-01,8/5/2016 8:38,2016-08-05T08:38:00,Foster,Adoption,Neutered Male,30.51711047,-97.52339657,13.7656746,*Pete,,
340.0,2 years,A754340,Other,Bat Mix,Brown,2015-07-19,7/20/2017 9:10,2017-07-20T09:10:00,Enroute,Died,Unknown,30.56811652,-97.2793448,104.6259921,,,
341.0,8 years,A747978,Dog,Mastiff/Plott Hound,Red,2009-04-27,5/1/2017 8:38,2017-05-01T08:38:00,Suffering,Euthanasia,Intact Female,30.47193924,-97.4471395,418.0513889,,,
342.0,2 months,A680314,Dog,Australian Kelpie Mix,Chocolate/Tan,2014-06-01,8/10/2014 17:54,2014-08-10T17:54:00,Offsite,Adoption,Spayed Female,30.74441987,-97.55133064,10.10654762,*Lil Sis,,
343.0,2 years,A670897,Dog,Australian Cattle Dog/German Shorthair Pointer,White/Tricolor,2012-01-15,1/17/2014 17:57,2014-01-17T17:57:00,,Return to Owner,Neutered Male,30.37293458,-97.50450716,104.821131,Toby,,
344.0,4 months,A749888,Cat,Domestic Shorthair Mix,Black,2017-04-14,8/22/2017 17:23,2017-08-22T17:23:00,,Adoption,Neutered Male,30.28359219,-97.55643172,18.67490079,*Chocolate,,
345.0,2 years,A721221,Dog,Border Collie Mix,Black/White,2014-02-23,3/13/2016 14:51,2016-03-13T14:51:00,,Return to Owner,Spayed Female,30.58438744,-97.46783257,107.0883929,Gypsy,,
346.0,4 years,A616906,Cat,Maine Coon Mix,Brown Tabby/White,2010-07-01,6/30/2014 14:39,2014-06-30T14:39:00,Partner,Transfer,Spayed Female,30.27311349,-97.32191801,208.658631,Estrella,,
347.0,2 months,A705590,Dog,Australian Shepherd/Labrador Retriever,Black Brindle,2015-04-12,6/27/2015 13:19,2015-06-27T13:19:00,,Adoption,Neutered Male,30.70831791,-97.39246682,10.93640873,,,
348.0,2 weeks,A714703,Cat,Domestic Medium Hair Mix,Black,2015-10-12,10/27/2015 12:19,2015-10-27T12:19:00,Partner,Transfer,Intact Male,30.31009011,-97.38398844,2.216170635,,,
349.0,2 years,A703203,Dog,Chihuahua Shorthair Mix,White/Brown,2013-05-21,5/24/2015 17:59,2015-05-24T17:59:00,,Return to Owner,Spayed Female,30.37821894,-97.41708451,104.8213294,Chloe,,
350.0,13 years,A306362,Dog,Labrador Retriever/Chow Chow,Black,2002-07-13,7/18/2015 16:40,2015-07-18T16:40:00,,Return to Owner,Spayed Female,30.64589194,-97.69086273,679.0992063,Zoey,,
351.0,2 months,A744559,Dog,Labrador Retriever Mix,Chocolate/White,2017-02-08,5/4/2017 10:41,2017-05-04T10:41:00,Foster,Adoption,Neutered Male,30.36049561,-97.55239038,12.20644841,,,
352.0,1 month,A745920,Dog,Labrador Retriever Mix,Chocolate/Tan,2017-02-04,3/30/2017 18:50,2017-03-30T18:50:00,,Adoption,Neutered Male,30.34323616,-97.31946851,7.826388889,,,
353.0,3 months,A760023,Dog,Labrador Retriever Mix,Brown,2017-07-11,10/22/2017 18:28,2017-10-22T18:28:00,,Return to Owner,Neutered Male,30.70044169,-97.40825875,14.82420635,Max,,
354.0,3 years,A683204,Cat,Domestic Shorthair Mix,Orange Tabby,2011-07-09,8/2/2014 15:03,2014-08-02T15:03:00,Partner,Transfer,Neutered Male,30.46415261,-97.5021407,160.0895833,*Spencer,,
355.0,2 months,A725797,Cat,Domestic Shorthair Mix,Blue Tabby,2016-03-03,5/8/2016 13:37,2016-05-08T13:37:00,,Adoption,Intact Female,30.44745311,-97.38894972,9.509623016,Pistachio,,
356.0,1 year,A742079,Dog,Chihuahua Shorthair Mix,Black/Tan,2016-01-14,1/18/2017 18:22,2017-01-18T18:22:00,,Adoption,Neutered Male,30.59314505,-97.65778464,52.96646825,,,
357.0,5 months,A703811,Dog,Black Mouth Cur/Blue Lacy,Sable,2014-12-29,6/2/2015 16:40,2015-06-02T16:40:00,,Adoption,Spayed Female,30.5435113,-97.68192853,22.24206349,,,
358.0,6 years,A602693,Dog,Shih Tzu/Border Terrier,Tan/Black,2010-11-04,11/22/2016 16:19,2016-11-22T16:19:00,,Return to Owner,Spayed Female,30.42607056,-97.4428018,315.8114087,Wilma,,
359.0,8 years,A756165,Dog,Labrador Retriever Mix,Black/White,2009-08-15,8/17/2017 11:49,2017-08-17T11:49:00,,Return to Owner,Neutered Male,30.41694709,-97.31286544,417.784623,Millo,,
360.0,1 month,A750195,Cat,Domestic Shorthair Mix,Torbie,2017-04-09,5/27/2017 15:50,2017-05-27T15:50:00,,Adoption,Intact Female,30.41057877,-97.66632914,6.951388889,Rusty,,
361.0,3 years,A745093,Other,Bat Mix,Brown,2014-03-12,3/12/2017 18:07,2017-03-12T18:07:00,Rabies Risk,Euthanasia,Unknown,30.30167847,-97.45249335,156.6792659,,,
362.0,8 months,A689081,Dog,Australian Cattle Dog Mix,Red Merle,2014-01-29,10/4/2014 17:18,2014-10-04T17:18:00,,Adoption,Spayed Female,30.31753828,-97.37923051,35.53154762,*Becca,,
363.0,10 years,A671864,Dog,Golden Retriever Mix,Gold/White,2004-01-31,1/31/2014 16:37,2014-01-31T16:37:00,,Return to Owner,Neutered Male,30.30940417,-97.5465731,521.9560516,Krash,,
364.0,3 years,A755458,Dog,Rat Terrier Mix,Tricolor,2014-08-04,8/10/2017 11:00,2017-08-10T11:00:00,Partner,Transfer,Spayed Female,30.38352494,-97.30269324,157.4940476,Chiquis,,
365.0,2 months,A664113,Dog,German Shepherd Mix,Black/Tan,2013-07-29,10/3/2013 17:39,2013-10-03T17:39:00,,Adoption,Neutered Male,30.40143439,-97.39501919,9.533630952,Wrigley,,
366.0,2 years,A719167,Dog,Miniature Pinscher Mix,Black/Brown,2014-01-14,1/19/2016 16:58,2016-01-19T16:58:00,,Adoption,Neutered Male,30.5213086,-97.27914542,105.1009921,*Toby,,
367.0,2 months,A728626,Cat,Domestic Longhair Mix,White/Black,2016-05-08,7/25/2016 17:17,2016-07-25T17:17:00,,Adoption,Spayed Female,30.71031361,-97.46453443,11.24573413,Snowball,,
368.0,4 weeks,A684341,Cat,Snowshoe Mix,Seal Point,2014-06-22,7/23/2014 14:35,2014-07-23T14:35:00,Partner,Transfer,Intact Female,30.63626959,-97.57193569,4.515376984,Apple,,
369.0,3 years,A723814,Cat,Domestic Shorthair Mix,Brown Tabby,2013-04-07,7/2/2016 16:31,2016-07-02T16:31:00,,Adoption,Spayed Female,30.51248262,-97.27871412,168.9554563,Chiquita,,
370.0,4 years,A758041,Cat,Domestic Shorthair Mix,White/Blue,2013-09-10,9/10/2017 19:06,2017-09-10T19:06:00,Suffering,Euthanasia,Neutered Male,30.55547012,-97.59647588,208.8279762,,,
371.0,2 months,A692444,Cat,Domestic Medium Hair Mix,Black/White,2014-08-29,11/21/2014 12:03,2014-11-21T12:03:00,Medical,Euthanasia,Intact Male,30.35828019,-97.67377784,12.07172619,,,
372.0,9 years,A663149,Cat,Domestic Shorthair Mix,Brown Tabby/White,2004-09-13,1/18/2014 16:08,2014-01-18T16:08:00,Foster,Adoption,Spayed Female,30.47810249,-97.27304921,487.8103175,Princess,,
373.0,2 months,A679430,Cat,Domestic Shorthair Mix,Cream Tabby/White,2014-04-14,6/19/2014 14:41,2014-06-19T14:41:00,,Adoption,Neutered Male,30.44006815,-97.56006211,9.515972222,Four,,
374.0,5 months,A709312,Dog,Miniature Schnauzer Mix,Black/Brown,2015-03-07,8/11/2015 18:04,2015-08-11T18:04:00,,Adoption,Spayed Female,30.47426121,-97.48262897,22.53611111,,,
375.0,5 months,A719249,Dog,German Shepherd Mix,Black/Brown,2015-08-16,1/20/2016 18:07,2016-01-20T18:07:00,,Adoption,Spayed Female,30.55244068,-97.30811783,22.53640873,*Miso,,
376.0,7 years,A742958,Cat,Domestic Shorthair Mix,Blue/White,2010-02-06,2/11/2017 9:50,2017-02-11T09:50:00,Partner,Transfer,Neutered Male,30.32047534,-97.36965558,366.0585317,*Saints,,
377.0,4 years,A692079,Cat,Domestic Shorthair Mix,Calico,2010-11-14,11/14/2014 12:24,2014-11-14T12:24:00,Suffering,Euthanasia,Intact Female,30.53971021,-97.47882939,208.7880952,,,
378.0,3 weeks,A757236,Cat,Domestic Medium Hair Mix,Black,2017-08-09,8/31/2017 0:00,2017-08-31T00:00:00,Partner,Transfer,Unknown,30.47757563,-97.71461143,3.142857143,,,
379.0,2 years,A687505,Dog,Chihuahua Shorthair Mix,Black,2012-09-05,9/10/2014 17:21,2014-09-10T17:21:00,,Return to Owner,Spayed Female,30.45443121,-97.7203507,105.1032738,Lucky,,
380.0,2 years,A715041,Dog,Pit Bull Mix,Chocolate/White,2013-10-30,11/9/2015 11:44,2015-11-09T11:44:00,,Return to Owner,Spayed Female,30.54710522,-97.60083662,105.784127,Coco,,
381.0,1 month,A736066,Dog,Labrador Retriever Mix,Tan,2016-08-03,10/3/2016 17:17,2016-10-03T17:17:00,,Return to Owner,Intact Female,30.5045429,-97.39660932,8.817162698,,,
382.0,5 years,A688773,Dog,Shih Tzu Mix,White/Brown,2009-09-23,9/24/2014 16:46,2014-09-24T16:46:00,,Return to Owner,Neutered Male,30.67868688,-97.74057241,261.0998016,Chubs,,
383.0,2 months,A730192,Cat,Domestic Longhair Mix,Black,2016-04-30,7/1/2016 12:39,2016-07-01T12:39:00,,Adoption,Intact Male,30.50904806,-97.42065436,8.932440476,Sirius,,
384.0,3 years,A624949,Dog,German Shepherd Mix,Black/Tan,2010-09-01,4/30/2014 16:25,2014-04-30T16:25:00,Aggressive,Euthanasia,Neutered Male,30.47727436,-97.55473012,191.0977183,Axle,,
385.0,1 month,A668178,Cat,Domestic Shorthair Mix,Blue,2013-11-09,1/2/2014 18:37,2014-01-02T18:37:00,Foster,Adoption,Neutered Male,30.49203277,-97.45378011,7.825099206,*Owen,,
386.0,2 months,A729678,Cat,Domestic Shorthair Mix,Orange Tabby,2016-04-22,6/26/2016 17:19,2016-06-26T17:19:00,,Adoption,Neutered Male,30.58580564,-97.62575006,9.388789683,,,
387.0,4 weeks,A710686,Cat,Domestic Shorthair Mix,Brown Tabby,2015-07-26,8/29/2015 14:15,2015-08-29T14:15:00,Partner,Transfer,Intact Male,30.47801075,-97.57938028,4.941964286,*Legolas,,
